Location,CowTagID,meanTemp,sdTemp,maxTemp,minTemp,rangeTemp,CVTemp
Varari,V1,27.07250664435645,0.9655911938767002,30.188888888888886,24.66186095,5.527027938888885,3.5666855919970297
Varari,V10,27.3847904265553,1.1144007522212733,30.188888888888883,24.96095267,5.227936218888882,4.069414937499862
Varari,V11,27.164707814325133,1.014813606337193,30.46,24.9932494,5.466750600000001,3.735779575740689
Varari,V12,27.15341760250488,0.9703381265601169,30.74,25.01504499,5.724955009999999,3.5735395844632243
Varari,V13,27.153881500414446,1.0935632552871064,30.450000000000003,24.68089329,5.769106710000003,4.027281533472168
Varari,V14,27.18466224233326,0.914035795919057,30.31111111111111,24.46184187,5.849269241111109,3.3623216936485476
Varari,V15,27.184093671512095,1.0725658354456633,30.88,24.80751348,6.072486519999998,3.9455640802535634
Varari,V16,27.28344311277068,1.0399698662661134,30.32222222222222,25.00511244,5.317109782222218,3.8117251622810397
Varari,V17,27.329508332636607,0.9737556658455288,30.2888888888889,24.53129718,5.757591708888899,3.563019334243493
Varari,V18,27.381943470012047,1.151251063015925,30.499999999999996,24.81801319,5.681986809999998,4.2044169153907704
Varari,V19,27.283819383642598,0.9713961802011974,30.119999999999997,25.11599581,5.004004189999996,3.5603379664050125
Varari,V2,27.20609994341164,1.0786283980305966,30.619999999999997,24.73100719,5.888992809999998,3.9646564567289344
Varari,V20,27.721891873841667,0.8629099566831318,30.466666666666665,25.81,4.656666666666666,3.112738339107989
Varari,V3,27.217975520129905,1.0130402225382071,30.42,25.06408451,5.355915490000001,3.7219528755508713
Varari,V4,27.450107906576527,0.8523229279743932,30.29,25.05702306,5.23297694,3.1049893533212405
Varari,V5,27.371582422470816,0.8673935331688283,30.33,25.01639305,5.313606949999997,3.168956473838129
Varari,V6,27.173785163010667,1.1067874957815813,30.78,24.56089329,6.219106710000002,4.072997152005735
Varari,V7,27.31632496842766,1.1984630304278034,30.461111111111116,24.5169982,5.944112911111116,4.387350903948437
Varari,V8,27.338001596284847,1.2282382018628315,31.111111111111107,24.62541642,6.485694691111107,4.492787073469721
Varari,V9,27.411728849257756,1.1376255873028867,30.2,24.77984717,5.420152829999999,4.150141691386572
