"","PC1","PC2","PC3","PC4"
"1",0.233386679997152,-0.0465078002221456,0.0457099576916423,0.0171126712136988
"2",-0.186558049875377,0.0292365213874203,-0.0687082535503444,0.0978904063617416
"3",-0.132925488170627,-0.137802677723733,0.0346159613471062,0.0637180461445447
"4",-0.168443293614815,-0.134354084962475,0.0635409617650547,0.00958361982231157
"5",-0.188397353489932,0.025195075948794,-0.0570933804889949,-0.00383102437811666
"6",-0.217344759285871,0.0126640185485252,-0.0595686514230269,-0.0200242583275936
"7",-0.126986164514225,-0.039867212363382,0.0775314196049886,0.0135645489556303
"8",-0.198402436209363,0.10419068570336,-0.0193359995684701,0.0104771664055503
"9",-0.14036813645573,0.061590323926854,-0.0106710903388037,-0.0225043901868243
"10",-0.0659096162588867,-0.168038157614847,0.0366577387945394,-0.0115380549965309
"11",0.0164991067227226,-0.0661351145812894,0.0993565613134451,-0.093958023482435
"12",-0.0150801841714483,-0.140717072103376,0.171435718895347,-0.154297466381916
"13",0.0505930815298055,0.0216514823005313,0.139201486340252,-0.0832254801117315
"14",0.171870652427176,-0.145189431656014,-0.0815840253550845,0.0115776107250355
"15",-0.27169250315253,-0.0330369334220231,-0.0915403637745967,0.0481635202805131
"16",0.00799084372765757,0.0366446194463791,0.111509197805948,0.0984855880840372
"17",0.0420916316672565,0.0677004421974051,0.145415331436571,0.099136628346181
"18",0.0420916316672565,0.0677004421974051,0.145415331436571,0.099136628346181
"19",0.0420916316672565,0.0677004421974051,0.145415331436571,0.099136628346181
"20",0.0511192262049663,0.080676846547013,0.158621026091275,0.100847218107654
"21",0.0338964272660491,0.0562775382420218,0.150482674035994,0.0678824606656487
"22",0.00830003383576044,-0.21753619705551,-0.12935599277652,0.0287858182821281
"23",-0.0497041571677902,-0.0532126562947584,-0.283033150274261,-0.0450570696713086
"24",0.0708191507880454,-0.251348273230845,-0.153123483933454,-0.0259884124234239
"25",0.107972358174981,-0.190183688255461,-0.109767714090916,0.00154525952376615
"26",0.108911059826598,-0.169250607656402,-0.113460223717751,-0.00159419817347973
"27",0.158043093911236,-0.11868881332203,-0.0614018093034206,0.00117056687430867
"28",0.2411615809076,-0.036795354758766,-0.0271332696026434,0.0396516026924154
"29",0.247916341362319,-0.0665425138380895,-0.0457573879937159,0.043661464042924
"30",0.226867876743371,-0.0723588628585606,-0.0438948396737359,0.0496747313868345
"31",0.39161558040701,-0.0885690648974269,0.00737502496715226,0.0370364113281824
"32",-0.0869567010647072,-0.116197636914331,0.0591485587662842,0.0905837078519904
"33",-0.151191093034844,-0.211690260495068,0.0981257646295447,0.0622811960116209
"34",-0.118915328832963,-0.13128961459691,0.0380462460207268,0.0896094079571353
"35",-0.116475890848346,-0.0982832045516462,0.0636884829203862,-0.000552164398641927
"36",-0.231384386012513,0.0229058631241123,-0.0497410337148816,-0.0717706612481203
"37",-0.207269245329629,0.0350192973412074,-0.0271265317236597,-0.0711294821473345
"38",-0.207269245329629,0.0350192973412074,-0.0271265317236597,-0.0711294821473345
"39",-0.20001623045616,0.113586513132746,0.0137125489704322,-0.0597993608773076
"40",-0.122249994742533,0.130778584504996,0.017409496118514,-0.000477914707679382
"41",-0.180084225585811,0.122334451061921,0.0172241685063017,-0.0636655873096291
"42",-0.159959538742046,0.135224910643347,0.0298134759094285,-0.0588229038219614
"43",-0.0420969371339324,-0.0438528903919253,0.0804056159266474,0.0191638664294217
"44",-0.0714779676090398,-0.147883944997408,0.0399599870865503,-0.0759059759687
"45",-0.173812367958844,0.0432425441843859,-0.0391350194938401,0.00215224706299781
"46",-0.116475890848346,-0.0982832045516463,0.0636884829203862,-0.000552164398641936
"47",-0.029097901965636,0.0216203906470429,0.110553418663094,0.0204887381938788
"48",-0.164947743185017,-0.0336656641438993,-0.0849060601221339,-0.116357066740427
"49",0.0169123586172026,0.263321789914351,-0.0147787237040651,0.010017678691499
"50",0.229666532917491,-0.0761776313297422,-0.00219447026999785,-0.0688144330736177
"51",0.0437021551906533,0.219396471896752,-0.153332279391473,0.155667486321226
"52",0.0324013480651041,0.1754237240488,-0.0982355627495681,0.0338345722648321
"53",0.0806726350400894,0.257052080601451,-0.0537318874929431,-0.00391327990889825
"54",0.136549757926286,-0.181067332890813,-0.124831690299912,0.0160793586056199
"55",0.198406688378296,-0.131889070134339,-0.0691564200213802,0.0148071706034612
"56",0.315035571468327,0.0517815106919169,0.0160694857954388,-0.00100118461921506
"57",0.185233005129437,0.2238754677701,-0.0511640505930244,-0.0938216269816166
"58",0.292732102544291,0.0698807614551584,0.121778689685673,-0.0354222610947061
"59",0.295768160975197,0.0895976398412926,0.139706657964982,-0.0985899814577308
"60",-0.126032351212621,-0.105078158805323,0.0710809307699762,0.0012775538012784
"61",-0.245479201755333,-0.0277243283482307,-0.0999448762891522,0.0498787754656604
"62",0.0243268278210239,0.147399500574143,-0.146205237508959,0.107079979177499
"63",0.13236475987409,0.356299281992207,-0.0841127348425411,0.074652505588083
"64",-0.0162569685846433,-0.114834149286874,0.0570312976947538,-0.0431756017475531
"65",0.163583448681174,0.214213263105575,-0.0447412319349836,-0.192106010024009
"66",0.0515871243531318,0.213452068197035,-0.0768293744765001,-0.0109018880227864
"67",0.216298494512731,-0.0582565014007391,-0.0297174146654556,-0.119791631577679
"68",-0.139217607729553,0.179654258943166,0.0627137355722926,-0.0660937995547217
