Y,Parameter,Reg_Type,AICc,R2,pVal.P,pVal.Rug,delAICc
NbSpP,Salinity + Rugosity,Linear,141.49895714697692,0.3696551686107486,0.6727538689992862,0.008901011317707258,4.534573249565028
NbSpP,Salinity + Rugosit,Polynomial,141.96922128101664,0.4698205325015966,0.1129840387882653,0.09862841799666405,5.004837383604752
NbSpP,Temperature + Rugosity,Linear,141.71436558607186,0.3624681048919408,0.9595445706318352,0.012810622546283042,4.749981688659972
NbSpP,Temperature + Rugosit,Polynomial,145.4720524706154,0.3624867230243083,0.983577381576171,0.019467999271976507,8.507668573203517
NbSpP,pH + Rugosity,Linear,141.7166144230703,0.3623926422517663,0.9783344704123444,0.008848583049384746,4.752230525658405
NbSpP,pH + Rugosit,Polynomial,141.46940375598422,0.48358568382558326,0.08021940543294023,0.002690566645938784,4.505019858572325
NbSpP,Phosphate_umolL + Rugosity,Linear,141.57763795333935,0.3670394384804535,0.7354410654241529,0.00879156593659835,4.613254055927456
NbSpP,Phosphate_umolL + Rugosit,Polynomial,139.23270373979287,0.5409365994242598,0.030788263628201574,0.006203534266557221,2.2683198423809756
NbSpP,Silicate_umolL + Rugosity,Linear,141.56882515709358,0.367332957375147,0.727555964022386,0.037971917355625544,4.604441259681693
NbSpP,Silicate_umolL + Rugosit,Polynomial,145.10739401060022,0.37460556109874915,0.6821191766870962,0.047738465225403946,8.143010113188325
NbSpP,NN_umolL + Rugosity,Linear,141.69621753264306,0.36307675957967117,0.8950989151497261,0.015802024946180313,4.731833635231169
NbSpP,NN_umolL + Rugosit,Polynomial,139.61851989003316,0.5315195174768546,0.03469142103097805,0.0036295767835196556,2.6541359926212635
NbSpP,Rugosity,Linear,138.46037513576658,0.3623623192792903,0.006391223608929511,0.006391223608929511,1.4959912383546907
NbSpP,Rugosity,Polynomial,136.9643838974119,0.5034891823424245,0.04880148183776986,0.04880148183776986,0
NbFEsP,Salinity + Rugosity,Linear,151.82255835005066,0.5014256899683586,0.9944231864843567,0.001046940679028246,4.460105181327663
NbFEsP,Salinity + Rugosit,Polynomial,147.362453168723,0.6764971027696213,0.01218761497224977,0.022592363315051243,0
NbFEsP,Temperature + Rugosity,Linear,150.72230157918068,0.5294772105765425,0.34325618825281723,0.002876830899240716,3.359848410457687
NbFEsP,Temperature + Rugosit,Polynomial,154.25725875064526,0.5349743459328453,0.6796605683122112,0.0038303702105597186,6.89480558192227
NbFEsP,pH + Rugosity,Linear,151.33445847699358,0.5140706812978729,0.5278806083772432,8.121666456520229e-4,3.9720053082705817
NbFEsP,pH + Rugosit,Polynomial,151.67074011068897,0.5941595856995248,0.10589811824228422,6.469947193530476e-4,4.308286941965974
NbFEsP,Phosphate_umolL + Rugosity,Linear,150.81350023284716,0.5272133055831876,0.36407949689197494,9.952727771922977e-4,3.451047064124168
NbFEsP,Phosphate_umolL + Rugosit,Polynomial,147.53502245048972,0.673545473434041,0.02038054729262964,4.6893858551172815e-4,0.1725692817667266
NbFEsP,Silicate_umolL + Rugosity,Linear,151.6909504776915,0.5048672465336606,0.7430420593790448,0.01035200548384085,4.328497308968508
NbFEsP,Silicate_umolL + Rugosit,Polynomial,154.46141538867306,0.5299506635738794,0.3850901809794053,0.009828329995282138,7.098962219950067
NbFEsP,NN_umolL + Rugosity,Linear,151.1373837223328,0.5190848635485221,0.4545217162393478,0.0056786308160190245,3.7749305536098063
NbFEsP,NN_umolL + Rugosit,Polynomial,149.18197717750058,0.6439851329681937,0.03664673169137195,0.0012310856966633221,1.8195240087775915
NbFEsP,Rugosity,Linear,148.56547534725743,0.5014241193426704,6.924972930869428e-4,6.924972930869428e-4,1.2030221785344395
NbFEsP,Rugosity,Polynomial,149.2963248755068,0.563497986105285,0.1509397261046955,0.1509397261046955,1.9338717067838047
Vol8D,Salinity + Rugosity,Linear,170.9199632922034,0.22725768564380971,0.8047767715694615,0.04998583060755318,4.775465650447558
Vol8D,Salinity + Rugosit,Polynomial,166.17889805188253,0.5059613821908562,0.010796848849708076,0.5442184753896142,0.03440041012669326
Vol8D,Temperature + Rugosity,Linear,170.89693830941627,0.2281935594370639,0.7774510295649844,0.07372815036721667,4.752440667660437
Vol8D,Temperature + Rugosit,Polynomial,174.0988623291551,0.2504643263896157,0.5145290031017866,0.1205786580544735,7.954364687399277
Vol8D,pH + Rugosity,Linear,170.99476692012567,0.2242093769055182,0.9951727022752637,0.04974641493931813,4.8502692783698365
Vol8D,pH + Rugosit,Polynomial,173.4929378931653,0.2739904615016898,0.3265864573388264,0.04266474182782471,7.348440251409471
Vol8D,Phosphate_umolL + Rugosity,Linear,170.3286980310505,0.25093451406006223,0.4608861426367795,0.050903494018777966,4.184200389294659
Vol8D,Phosphate_umolL + Rugosit,Polynomial,166.14449764175583,0.5068550535120491,0.013732775181642388,0.03784008821179073,0
Vol8D,Silicate_umolL + Rugosity,Linear,170.9527896568404,0.22592146215191167,0.8530718447050393,0.13819741737947386,4.808292015084561
Vol8D,Silicate_umolL + Rugosit,Polynomial,173.88347843706768,0.2589130805388309,0.42662010984797416,0.12779734572305404,7.738980795311846
Vol8D,NN_umolL + Rugosity,Linear,170.75778636204353,0.23382545660404222,0.6600443915015103,0.11431517134376097,4.613288720287699
Vol8D,NN_umolL + Rugosit,Polynomial,168.84626061082133,0.4315000695010031,0.037376155124679275,0.03711330450421118,2.7017629690654985
Vol8D,Rugosity,Linear,167.73766890961846,0.22420754576654245,0.0405802958586127,0.0405802958586127,1.5931712678626297
