Y,modelParam,Parameter,Reg_Type,AICc,R2,pVal,delAICc
resFEp,Y ~ pH:Rugosity,pH:Rugosity,Polynomial,159.21448633733982,0.30444182397524117,0.47965262301969336,11.807973236460299
resFEp,Y ~ Temperature:Rugosity,Temperature:Rugosity,Polynomial,159.8776935128433,0.27973421119075614,0.7290439684583156,12.471180411963786
NbFEsP,Y ~ Temperature:Rugosity,Temperature:Rugosity,Polynomial,159.87769351284334,0.6221835761315935,0.7290439684583161,12.471180411963815
NbFEsP,Y ~ Silicate:Rugosity,Silicate:Rugosity,Polynomial,162.445635157061,0.5675082504993204,0.8648264253287758,15.03912205618147
resFEp,Y ~ Silicate:Rugosity,Silicate:Rugosity,Polynomial,162.445635157061,0.1755016684608303,0.8648264253287754,15.03912205618147
Vol8D,Y ~ Salinity:Rugosity,Salinity:Rugosity,Polynomial,169.568861352968,0.6408855005251064,0.5195084334286332,0
resVol,Y ~ Salinity:Rugosity,Salinity:Rugosity,Polynomial,169.568861352968,0.5493552977444747,0.5195084334286324,0
Vol8D,Y ~ Temperature:Rugosity,Temperature:Rugosity,Linear,171.28375438515135,0.3497250267624565,0.09638067708215257,1.7148930321833404
resVol,Y ~ Temperature:Rugosity,Temperature:Rugosity,Linear,171.28375438515135,0.18398457281076744,0.09638067708215238,1.7148930321833404
Vol8D,Y ~ Phosphate:Rugosity,Phosphate:Rugosity,Polynomial,171.33754962903288,0.6058505570091236,0.24297437648196357,1.7686882760648643
resVol,Y ~ Phosphate:Rugosity,Phosphate:Rugosity,Polynomial,171.33754962903288,0.5053907357109577,0.24297437648196354,1.7686882760648643
resVol,Y ~ Nitrate+Nitrite:Rugosity,Nitrate+Nitrite:Rugosity,Polynomial,172.194948444707,0.4825596052701335,0.45765189918235294,2.626087091738981
Vol8D,Y ~ Nitrate+Nitrite:Rugosity,Nitrate+Nitrite:Rugosity,Polynomial,172.19494844470702,0.5876566451764409,0.4576518991823527,2.6260870917390093
Vol8D,Y ~ Phosphate:Rugosity,Phosphate:Rugosity,Linear,173.3538359333269,0.2748728856561092,0.4137541055692108,3.7849745803588917
resVol,Y ~ Phosphate:Rugosity,Phosphate:Rugosity,Linear,173.3538359333269,0.09005430574724889,0.4137541055692108,3.7849745803588917
Vol8D,Y ~ Salinity:Rugosity,Salinity:Rugosity,Linear,173.6036683538886,0.26527517277752355,0.30968472365300476,4.03480700092058
resVol,Y ~ Salinity:Rugosity,Salinity:Rugosity,Linear,173.6036683538886,0.07801035188621419,0.309684723653005,4.03480700092058
Vol8D,Y ~ Silicate:Rugosity,Silicate:Rugosity,Linear,174.31716700869367,0.23715977540083888,0.4724808892945833,4.748305655725659
resVol,Y ~ Silicate:Rugosity,Silicate:Rugosity,Linear,174.31716700869367,0.042728972554167334,0.47248088929458365,4.748305655725659
Vol8D,Y ~ Nitrate+Nitrite:Rugosity,Nitrate+Nitrite:Rugosity,Linear,174.71381679690197,0.22106709710636524,0.8916361618918469,5.144955443933952
resVol,Y ~ Nitrate+Nitrite:Rugosity,Nitrate+Nitrite:Rugosity,Linear,174.71381679690197,0.022534632784786703,0.8916361618918472,5.144955443933952
Vol8D,Y ~ pH:Rugosity,pH:Rugosity,Linear,175.01106222138648,0.20878526335069816,0.9143316513909083,5.4422008684184675
resVol,Y ~ pH:Rugosity,pH:Rugosity,Linear,175.01106222138648,0.007122436050688045,0.9143316513909086,5.4422008684184675
Vol8D,Y ~ Temperature:Rugosity,Temperature:Rugosity,Polynomial,180.81371824775093,0.35097200518053845,0.93681127446213,11.244856894782913
resVol,Y ~ Temperature:Rugosity,Temperature:Rugosity,Polynomial,180.81371824775093,0.1855493779599812,0.9368112744621304,11.244856894782913
resVol,Y ~ pH:Rugosity,pH:Rugosity,Polynomial,182.54118365424748,0.10802952301761061,0.47263147999736954,12.972322301279462
Vol8D,Y ~ pH:Rugosity,pH:Rugosity,Polynomial,182.54118365424753,0.28919716622723224,0.4726314799973699,12.972322301279519
Vol8D,Y ~ Silicate:Rugosity,Silicate:Rugosity,Polynomial,183.367639345364,0.2575966076019737,0.6458932541179111,13.798777992395998
resVol,Y ~ Silicate:Rugosity,Silicate:Rugosity,Polynomial,183.367639345364,0.06837469328054632,0.6458932541179115,13.798777992395998
