Taxa,Identification_notes,Genus,Family,Taxon_Group,Identified,Morphology,Secondary_Morphology,Life_Span,Max_size,MS_unit,MS_cat,Growth_rate,GR_unit,GR_cat,Zooxanthellate,Calcification,Energetic_Resource,Feeding_Mode,Observation_notes
Montipora efflorescens,"Bernard, 1897",Montipora,Acroporidae,Coral,yes,Massive,Massive,Perennial,,,> 100 cm,,,,Zooxanthellate,Hermatypic,Photo-autotroph,Passive Filter-feeding,max size category estimated from field survey
Montipora setosa,"Nemenzo, 1976",Montipora,Acroporidae,Coral,yes,Massive Digitate,Digitate,Perennial,,,> 100 cm,,,,Zooxanthellate,Hermatypic,Photo-autotroph,Passive Filter-feeding,max size category estimated from field survey
Pavona cactus,"Forskal, 1775",Pavona,Agaricidae,Coral,yes,Branched Foliose,Branched,Perennial,1000,"cm, diameter",> 100 cm,,,,Zooxanthellate,Hermatypic,Photo-autotroph,Passive Filter-feeding,
Pocillopora acuta,"Lamarck, 1816",Pocillopora,Pocilloporidae,Coral,yes,Branched Globular,Branched,Perennial,,,21-50 cm,,,,Zooxanthellate,Hermatypic,Photo-autotroph,Passive Filter-feeding,max size category estimated from field survey
Pocillopora verrucosa,"Ellis and Solander, 1786",Pocillopora,Pocilloporidae,Coral,yes,Branched Globular,Branched,Perennial,50,"cm, diameter",21-50 cm,37.9,mm yr-1,,Zooxanthellate,Hermatypic,Photo-autotroph,Passive Filter-feeding,
Codium geppiorum,"O.C.Schmidt, 1923",Codium,Codiaceae,Chlorophyta,yes,Branched,Branched,Perennial,,,,,,,Non-zooxanthellate,Non-Calcified,Autotroph,Autotrophy,
Porites irregularis,"Quelch, 1884; endemic to Polynesia and different from Verrill, 1864 which is a synonym of Porites rus",Porites,Poritidae,Coral,yes,Massive Digitate,Massive,Perennial,,,> 100 cm,,,,Zooxanthellate,Hermatypic,Photo-autotroph,Passive Filter-feeding,max size category estimated from field survey
Porites lobata,"Dana , 1846",Porites,Poritidae,Coral,yes,Massive,Massive,Perennial,685,"cm, diameter",> 100 cm,18.8,mm yr-1,,Zooxanthellate,Hermatypic,Photo-autotroph,Passive Filter-feeding,
Porites lutea,"Milne Edwards and Haime, 1851",Porites,Poritidae,Coral,yes,Massive,Massive,Perennial,400,"cm, diameter",> 100 cm,23.91,mm yr-1,,Zooxanthellate,Hermatypic,Photo-autotroph,Passive Filter-feeding,
Porites rus,"Forskal, 1775",Porites,Poritidae,Coral,yes,Massive Digitate,Digitate,Perennial,500,"cm, diameter",> 100 cm,25.14,mm yr-1,,Zooxanthellate,Hermatypic,Photo-autotroph,Passive Filter-feeding,
