Location,CowTagID,lat,lon,Salinity,TA,pH,Phosphate_umolL,Silicate_umolL,NN_umolL,Ammonia_umolL,M_C,HIX,VisibleHumidic_Like,Tryptophan_Like,Tyrosine_Like,del15N,C_N,N_percent,V_cluster
Varari,V1,-17.53975298,-149.900506,0.3402444178060491,1.2327945785686338,0.14960011967085876,-0.5045462005253055,0.5059448893839112,-0.08247717502353905,-0.6906763650000708,1.9156828237072974,2.1133681861116065,0.2637680634822035,1.3149696937450617,0.13384157730008808,0.8466212888455164,0.5824486998579267,-0.8801989440116408,Mid
Varari,V2,-17.53989003,-149.900519,0.39702168739857085,-0.8599157269003577,-0.47540429461381534,0.5766402165543784,0.6835706887590196,0.422512750763249,2.752973165287681,-0.16963487249604323,-0.9322528732302084,3.021470240291451,0.19567785017665745,-0.6127683760376547,0.4541106435274035,-0.1486604125692163,0.06390025799291943,Mid
Varari,V3,-17.54012598,-149.90056,-0.044446528321123085,-0.970256704405178,1.97534187076156,0.2788187025693882,-0.314381197749711,0.32769152818177016,-0.8388428432572549,0.8416282478343522,-1.4595901459512732,0.3982512844144036,-1.2069059190132643,-2.6583812142563668,-0.38734595698945695,-0.06822321136449909,0.36343808707531594,Mid
Varari,V4,-17.54024902,-149.900454,-1.0813555282916052,-0.3445249829028593,-0.7633729521168939,-0.5045462005253055,-0.3201256634660805,0.8920830543659372,1.2519227305281322,-0.7156585906761841,-0.7044065811740153,1.3185194596639194,-0.4090133022699944,-1.495561950140368,-0.610834206118301,-0.9765824101338696,1.0983492289934065,Mid
Varari,V5,-17.54025003,-149.900336,0.1582229875907414,-0.16454083206592393,-1.1788355036349025,0.5766402165543784,0.6116752875599911,0.7012438835728118,0.37031422346879056,0.38612793208619034,0.5673558345014618,0.08479598170301067,2.9368528673505585,1.7890795870638432,-0.1693629082185234,0.582839042731518,-0.6191623443532852,Mid
Varari,V6,-17.54002498,-149.900106,-0.3562485798009096,-0.35937406100006203,-0.5240386119578136,0.8346249465635116,0.4291055048199607,0.39156656507242765,-0.0670996359911678,-0.0919659007278621,-0.7196130072895042,-0.712722490305085,0.5480707841620425,0.6002603161811398,1.4045579773809345,-0.4131098085649467,0.3004659455077753,Mid
Varari,V7,-17.54004803,-149.899985,-0.19356067602215307,-1.0739676546382884,0.6632114608229334,-0.07342938441487878,0.08063226367904355,0.07993375856594645,0.26324860157701757,-1.8564933812281512,-0.35337989443164886,-0.21962033210600176,1.4252965015848313,0.8717310985724424,1.2224596936232968,-0.4182742823858306,-0.4345279837491785,Mid
Varari,V8,-17.54014903,-149.899896,1.299336244146471,-0.4122022512725653,1.655578242901774,0.8346249465635116,1.2340696561254108,1.3182362931956622,0.06556482378582228,0.06349062007647215,0.08319608576949075,0.48835885215553015,0.6194915017004964,0.7656912303812833,1.9293954094094163,-1.7829905819921505,2.0597970643032433,High
Varari,V9,-17.540245,-149.899765,-1.6830801942848748,0.46729395113594724,-0.8993268320252154,-1.0603524445194297,-0.8670445772386742,-1.0804981041011565,-0.2647834137823629,-0.3618278299612094,-1.224046084291187,-1.6519363844622628,-0.43013454475094676,-0.14453414410159116,-1.317299385294535,1.7690443607196114,-1.3872319614125177,Low
Varari,V10,-17.54030501,-149.899788,-0.5352312093229606,0.8326975114838522,-0.8366528922076815,-1.8437173476141235,-0.010455826082787617,-0.8491430860834763,-0.9188855384265833,0.49050659767155147,0.025647996928277766,-0.7601134137778844,-1.4121204417314497,-1.4313185830670825,-0.38734595698945695,0.30996375987830393,-0.5934759479629567,Mid
Varari,V11,-17.54019303,-149.900068,0.8833299360815012,0.8993695769457819,-1.8556693348329958,-0.5045462005253055,1.1369367352945061,1.1202345773949909,1.02687349264006,-1.4539909012753855,-0.8001991317260421,-0.025035665897384093,-0.42951166672691354,-0.2716195552011532,0.652541924141006,-1.3482767230845905,1.3550854106252526,High
Varari,V12,-17.54030996,-149.900112,-0.7341397695318471,-2.7754400710939344,-0.8562126716010093,0.2788187025693882,0.215384764605707,-0.21697040341207663,0.6229132275776029,-1.2129162277964791,-0.5135988594545996,0.13122258271752998,-0.1405404672922818,0.03517709356687058,-0.8401129458267307,-0.4831895484874788,0.554734969890958,Mid
Varari,V13,-17.540749,-149.899133,-0.9579732457940375,0.09364576590718703,-0.16458425665467846,-0.5045462005253055,-1.5321799547962767,-2.4979808733970263,-1.1887997017660428,-0.47726049138570725,0.6016024191684172,-1.1105833255966777,-0.723896424695708,-0.3848531688198809,-1.317299385294535,1.1460579740217973,-0.8588266847455183,Low
Varari,V14,-17.54039696,-149.899396,-1.5126337803862462,1.638426552252366,0.9679491657550113,-1.8437173476141235,-0.297303878968346,-1.1662835568712784,0.1873125088680976,1.2942456420259134,2.36800202588269,-0.10296173050867408,-0.041032642379647176,0.36023799366875686,0.652541924141006,1.270139324877541,-1.3843780275751134,Low
Varari,V15,-17.54014299,-149.900183,0.3402444178060491,0.9869385134970443,1.3575197036654578,1.4498825143028937,1.1387388369223108,0.9578236438055057,-0.6218067737162443,-0.3884467778525653,0.3751669831877964,-1.10497290381619,-0.8513985949077133,-0.061519687838896005,0.8466212888455164,-0.8042202752240832,0.9066751914967288,High
Varari,V16,-17.54029797,-149.900492,-0.4435016784024059,-0.39272611268766866,0.34725237651026747,-1.0603524445194297,-1.7106321934342406,-1.257271222241121,0.7875749097757428,1.509025233284631,0.30398915024106193,0.7797193776552978,-0.37562183104492797,-0.14398039808309157,-1.0754902340202313,1.7306400606479695,-1.5293200629854007,Low
