Location,CowTagID,lat,lon,del15N,C_N,N_percent,V_cluster_turb
Varari,V1,-17.53975298,-149.900506,0.8466212888455164,0.5824486998579267,-0.8801989440116408,Low
Varari,V2,-17.53989003,-149.900519,0.4541106435274035,-0.1486604125692163,0.06390025799291943,High
Varari,V3,-17.54012598,-149.90056,-0.38734595698945695,-0.06822321136449909,0.36343808707531594,High
Varari,V4,-17.54024902,-149.900454,-0.610834206118301,-0.9765824101338696,1.0983492289934065,High
Varari,V5,-17.54025003,-149.900336,-0.1693629082185234,0.582839042731518,-0.6191623443532852,Low
Varari,V6,-17.54002498,-149.900106,1.4045579773809345,-0.4131098085649467,0.3004659455077753,High
Varari,V7,-17.54004803,-149.899985,1.2224596936232968,-0.4182742823858306,-0.4345279837491785,High
Varari,V8,-17.54014903,-149.899896,1.9293954094094163,-1.7829905819921505,2.0597970643032433,High
Varari,V9,-17.540245,-149.899765,-1.317299385294535,1.7690443607196114,-1.3872319614125177,Mid
Varari,V10,-17.54030501,-149.899788,-0.38734595698945695,0.30996375987830393,-0.5934759479629567,Low
Varari,V11,-17.54019303,-149.900068,0.652541924141006,-1.3482767230845905,1.3550854106252526,High
Varari,V12,-17.54030996,-149.900112,-0.8401129458267307,-0.4831895484874788,0.554734969890958,High
Varari,V13,-17.540749,-149.899133,-1.317299385294535,1.1460579740217973,-0.8588266847455183,Low
Varari,V14,-17.54039696,-149.899396,0.652541924141006,1.270139324877541,-1.3843780275751134,Low
Varari,V15,-17.54014299,-149.900183,0.8466212888455164,-0.8042202752240832,0.9066751914967288,High
Varari,V16,-17.54029797,-149.900492,-1.0754902340202313,1.7306400606479695,-1.5293200629854007,Mid
Varari,V17,-17.54031901,-149.899572,0.251127792157576,-0.5736434860796976,0.35391332541047227,High
Varari,V18,-17.54019697,-149.899906,0.251127792157576,-1.1485791391213485,1.170397332337939,High
Varari,V19,-17.54050802,-149.89978,-1.5659018096507331,0.49241294151833465,-0.044849184775982445,Low
Varari,V20,-17.54045103,-149.899509,-0.8401129458267307,0.28220371475471995,-0.4947856720624369,Low
