CowTagID,Dist_CT_cm,Depth,Tidal_diff,adj_CT_depth_cm
V20,65,39.900000000000006,0,65
V14,62,40.1,0.19999999999999574,61.800000000000004
V17,70,40.9,0.7999999999999972,69.2
V19,79,37,-3.8999999999999986,82.9
V9,80,40,3,77
V10,32,39.1,-0.8999999999999986,32.9
V8,39,40.2,1.1000000000000014,37.9
V18,34,42.699999999999996,2.499999999999993,31.500000000000007
V7,45,41.8,-0.8999999999999986,45.9
V11,53,39.2,-2.5999999999999943,55.599999999999994
V12,59,43.5,4.299999999999997,54.7
V6,70,45.800000000000004,2.3000000000000043,67.69999999999999
V15,40,42.3,-3.500000000000007,43.50000000000001
V5,70,41.4,-0.8999999999999986,70.9
V4,61,43.7,2.3000000000000043,58.699999999999996
V16,78,46,2.299999999999997,75.7
V3,50,44,-2,52
V2,70,44.800000000000004,0.8000000000000043,69.19999999999999
V1,76,44.2,-0.6000000000000014,76.6
V13,79,50.4,6.199999999999996,72.80000000000001
