Location,CowTagID,shore_dist_m
Varari,V1,22.5
Varari,V2,35
Varari,V3,59
Varari,V4,63.5
Varari,V16,70
Varari,V5,55
Varari,V15,36
Varari,V6,20
Varari,V12,47
Varari,V11,34
Varari,V7,15.5
Varari,V18,25
Varari,V8,20
Varari,V10,28.5
Varari,V9,22.5
Varari,V19,45
Varari,V17,18.5
Varari,V20,29
Varari,V14,17
Varari,VSEEP,2
