Parameter_Ind,Parameter_Dep,pvalue,adj_r_squared
spRichness,Salinity,0.420665991522645,-0.0171769178230983
spRichness,Temperature,0.700365805354944,-0.0466645202093885
spRichness,TA,0.389865319946137,-0.01190976912063
spRichness,pH,0.219486040080638,0.0315282704182648
spRichness,Phosphate_umolL,0.775502646511079,-0.0506633420113674
spRichness,Silicate_umolL,0.0865041813603179,0.107472366328969
spRichness,NN_umolL,0.73047147364383,-0.0484243577113554
spRichness,Ammonia_umolL,0.0342483627373504,0.182743558420428
spRichness,M_C,0.279334500766177,0.0126894368197805
spRichness,HIX,0.194935378981753,0.041002797670765
spRichness,VisibleHumidic_Like,0.0422727804925342,0.165878820983741
spRichness,Tryptophan_Like,0.968018959647014,-0.0554586421532886
spRichness,Tyrosine_Like,0.639345313583749,-0.0423983537953057
spRichness,del15N,0.131712165017962,0.0728874890203158
spRichness,C_N,0.760000263974212,-0.0499441645797825
spRichness,N_percent,0.88758834336288694,-0.0543514944913901
spRichness,LiveCoral,0.102962557389006,0.0931348902201703
spRichness,DeadCoral,0.00253623203476619,0.372427494109044
spRichness,Rubble,0.269534769108369,0.0154361212569272
spRichness,Sand,1.25640156080918e-4,0.543552759637587
spRichness,dist_to_seep_m,0.01385385830997,0.252935650355637
spRichness,adj_CT_depth_cm,0.813692242855949,-0.0522123258699285
spRichness,meanRugosity,0.00639122350012246,0.324854221663613
Salinity,Temperature,0.010130452946564,0.276213766604759
Salinity,TA,0.505186878619673,-0.0291223122554971
Salinity,pH,8.1331506324215e-4,0.443067496676933
Salinity,Phosphate_umolL,0.150577175812773,0.0619305359466317
Salinity,Silicate_umolL,0.0279520717561696,0.198842918516233
Salinity,NN_umolL,0.408584135486451,-0.0151769283727521
Salinity,Ammonia_umolL,0.859687597864638,-0.0536731941404809
Salinity,M_C,0.371729527287453,-0.00853408668129307
Salinity,HIX,0.521887930063792,-0.0311145595710884
Salinity,VisibleHumidic_Like,0.75062151890859,-0.0494830173876966
Salinity,Tryptophan_Like,0.765911290836264,-0.0502246705374745
Salinity,Tyrosine_Like,0.364480348803173,-0.00712275007926833
Salinity,del15N,0.230957136220384,0.0274958918551008
Salinity,C_N,0.507558797747499,-0.0294119312416201
Salinity,N_percent,0.895576716499166,-0.0545174129377115
Salinity,LiveCoral,0.313486496042465,0.00394644312597159
Salinity,DeadCoral,0.921383471013778,-0.054968469910704
Salinity,Rubble,0.250429652089226,0.0211421229895662
Salinity,Sand,0.533398861114946,-0.0324256165983199
Salinity,dist_to_seep_m,0.644340757592771,-0.0427847986600285
Salinity,adj_CT_depth_cm,0.523341017130279,-0.0312828016267865
Salinity,meanRugosity,0.695224234503441,-0.0490244060031955
Temperature,Salinity,0.010130452946564,0.276213766604759
Temperature,TA,0.841497092971556,-0.0531471137940969
Temperature,pH,0.0791263865705149,0.11480286206644
Temperature,Phosphate_umolL,0.198652548913888,0.0394868833626799
Temperature,Silicate_umolL,0.143201371590144,0.0660354874409425
Temperature,NN_umolL,0.104590588268342,0.0918433403625287
Temperature,Ammonia_umolL,0.783921983017603,-0.0510317784930809
Temperature,M_C,0.647239644019587,-0.0430059007200252
Temperature,HIX,0.649415849318499,-0.0431703716639318
Temperature,VisibleHumidic_Like,0.438471909010255,-0.0199793417260998
Temperature,Tryptophan_Like,0.487826442030154,-0.0269327000391522
Temperature,Tyrosine_Like,0.413406054803123,-0.0159850164949609
Temperature,del15N,0.178016863663964,0.0483215599361679
Temperature,C_N,0.776807912152446,-0.0507214749914311
Temperature,N_percent,0.962135805537659,-0.055419679919247
Temperature,LiveCoral,0.979925165799979,-0.0555173810236993
Temperature,DeadCoral,0.983142279914866,-0.0555286375571578
Temperature,Rubble,0.801253439523634,-0.0517419983712493
