Location,CowTagID,lat,lon,Salinity,TA,pH,Phosphate_umolL,Silicate_umolL,NN_umolL,Ammonia_umolL,M_C,HIX,VisibleHumidic_Like,Tryptophan_Like,Tyrosine_Like,del15N,C_N,N_percent,cluster
Varari,V1,-17.53975298,-149.900506,-0.2776062589529815,-0.4598556249887021,-0.055741696770449004,-0.36135033011314566,0.3453711138886472,-0.3288736957185572,-0.9627426976020829,1.6171824745605634,1.1720891117811838,-0.37694183382992963,0.7592634500176312,0.8190255859491815,-0.9648166913234689,-0.5630632441438683,0.3182149850643201,Low
Varari,V2,-17.53989003,-149.900519,-0.19915979877965034,-1.2602590094026775,-0.4126264028492926,-0.05396316396557196,0.454522164024819,-0.18240445384723902,1.5238538917328022,0.03394079546231357,-0.650054534694749,2.3244933386836455,0.5594074418606167,0.03821471594488984,-0.4338437471051851,-0.4155182840034435,-0.060665269248146164,Low
Varari,V3,-17.54012598,-149.90056,-0.5026751485593017,-1.123395269316769,-0.25814332798962375,0.2654085754342227,-0.10694904239545885,-0.03224359845031304,-1.342759518278164,0.1910607014117768,-0.911414142948979,0.015311000224862092,-0.40738128493932707,-1.4651838464703462,-0.035614038941470166,0.38871241966882025,-0.7935007033199819,Low
Varari,V4,-17.54024902,-149.900454,-0.9033393528093968,-0.8432478704166771,-0.7349403856412605,0.5522925670198526,-0.023006625991072206,0.6778812254238445,-0.16651091796980041,-0.7793706208227182,-0.4241244536912938,1.4030020015315166,0.5813543463128656,0.18343256656509702,-0.4338437471051845,-0.36517877346420186,0.40084540185356765,Low
Varari,V5,-17.54025003,-149.900336,-0.4903315357460963,-0.7263910681137713,-0.66984562030305,0.35102625819995587,0.9136693178815634,0.4850310167311898,-0.7239230158277591,0.5226351031615852,1.275167087917767,0.2553897162324163,1.1725097599408938,1.589158761539014,-0.6993302192143267,-2.145705725164486,2.6811166304473844,Low
Varari,V6,-17.54002498,-149.900106,-0.6893495805124257,-0.07888395792811005,-0.34905298402118157,-0.15839732840758053,-0.13573136294942756,0.026390124626773145,-1.0716826623149074,-0.03158032757379796,-0.38703198936504873,-0.9293282192878616,0.2139276593887124,0.31162968328661256,-0.9648166913234701,-0.04574282894168631,-0.4887996843994425,Low
Varari,V7,-17.54004803,-149.899985,-0.5862986099300114,-0.9755625464812987,-0.31996933578406594,-0.08421920735598065,-0.19063779610728346,0.01877914119809033,-0.6630449285935394,-2.0537793646141735,-0.22623831869339123,-0.5779657445490924,0.6183826341487232,-0.33576868988314873,-1.3630463994871833,0.7925894276802137,-0.7847549193098622,Low
Varari,V8,-17.54014903,-149.899896,-0.0830866265058886,-1.0170810678362532,-0.43384318026955365,5.332188511954004e-4,0.9727450178520972,0.7370212668218981,-0.8740521358226984,0.14911980173449504,0.3182384047279352,0.032048779909626464,-0.10607117628989444,0.48912542974171236,-1.628532871596326,1.164274929886924,-2.5813839803169905,Low
Varari,V9,-17.540245,-149.899765,-0.7808806918920397,-0.7572932229375777,-0.4284097048893308,0.36466272276582373,-0.5952443853127379,0.15305325755178226,-1.1132809060109883,-0.19519812032852235,-0.30523903543098,-1.5465020537556546,-0.04729478712205095,-0.45395559455350337,-0.035614038941470756,-1.386102478051255,0.9484557873604563,Low
Varari,V10,-17.54030501,-149.899788,-0.4121233887919443,-0.5666916488378999,-0.5616737510042151,0.21285400034678598,0.1458798105125789,0.5918061869665517,-1.4077100759137866,0.8358615084158406,0.08730140184930926,-0.6537157003417453,0.9305838907223356,0.6213696710041763,-0.6993302192143267,0.028725569861997233,0.12291337756066699,Low
Varari,V11,-17.54019303,-149.900068,-0.22769432788463279,-0.09845038930657102,-0.6814377218777004,-0.0865074132221296,1.4257594545626278,0.43928187608632546,0.05539451575570332,-1.564558884142934,-0.3268561823584907,0.004639665659199511,0.1442959444178355,0.20113366111504158,-0.30110051105061303,5.53857272287501e-4,-0.5025140690020653,Low
Varari,V12,-17.54030996,-149.900112,-0.3811952308725287,-0.9755038804834871,-0.8025962253602973,0.38195269201401977,0.5500496066598558,0.4309889839000791,-0.3173571871656088,-1.017625813940291,-0.24897311984609852,0.23069612269069323,0.8020997958156163,0.6810746301256602,3.4157100984773834,-0.20576461226284695,0.008144889622205059,Mid
Varari,V13,-17.540749,-149.899133,-0.8631748009785645,-0.4714872886949816,-0.3748338408613985,0.2786030668867287,-1.0339386211545059,-0.09654878409542977,0.9409886045362663,0.20880278935853827,0.5518933494594185,-1.0163132093501028,0.15805140977172066,0.36602141689799367,0.09712919711310072,0.8280105712088646,-1.0458451845537475,Low
Varari,V14,-17.54039696,-149.899396,-0.6014545525508272,-0.20960111172860335,-0.20456711052872545,0.06492375146435402,-0.8453236983688737,-0.1448113407565203,-0.9515007455239416,1.411017944935073,0.7150464888272371,-0.3098196975802951,0.7003369220170447,0.9477486805267826,0.2298724331676727,-1.0022255838862903,1.4268605658770745,Low
Varari,V15,-17.54014299,-149.900183,-0.35525918003811446,-0.4390809548785053,-0.5011391773976448,0.31485378330869696,1.184033211619638,0.3652562989142971,0.6554468216203372,0.3598697992342794,0.14205347037590177,-1.1309788368425397,0.5345174670578879,1.2439810464867394,3.1502236263682417,-0.10199707588387864,-0.606490833941026,Mid
Varari,V16,-17.54029797,-149.900492,-0.779772615289064,-0.9548007547552777,-0.6898699035870278,-0.09874089019875242,-0.8807078481363249,0.21439949887172532,-0.571684132533285,1.143210673153042,0.4589818768278831,1.1946887711261593,0.6277344876989596,0.7632999382493084,-0.035614038941470756,-1.1152161647505965,1.0191752342537663,Low
Varari,V17,-17.54031901,-149.899572,0.7549310346179469,-0.4463859573612093,-2.035485756244088,-0.2932206891510534,0.6036073099544029,-0.270624793398938,-1.994420654103049,1.0061036352702424,0.3306623308989362,-0.745612379041496,0.5882979467652385,0.8742498750556217,-0.1683572749960416,0.7344491373236054,-1.440554152235662,High
Varari,V18,-17.54019697,-149.899906,0.09225716470936073,-0.22346965468363145,-0.4608845614680602,0.5432359026437821,1.312654597344832,0.4402365941443207,3.3925846960882495,0.08411590851567428,0.46953586267586184,-0.13006495631880058,0.6169180539426645,0.6496953694700415,0.09712919711310072,0.7179376735517221,-1.721559948871489,Low
Varari,V19,-17.54050802,-149.89978,-0.5152080833862228,-0.6206395588674448,-0.5598308441547983,0.2656709206336396,-0.9775853476670591,0.2921810988126175,0.3726299893179864,-1.0798505088965742,-0.36480095481104086,0.3810382553414917,0.8212981721857348,0.7667700420544902,-0.1683572749960416,0.6608198905014804,-0.9793547681006537,Low
Varari,V20,-17.54045103,-149.899509,-0.5066474768604003,-0.6310973020041307,-0.3286037409052902,0.26085669615131074,-0.8530200800882801,0.08864516890819281,-1.0638112578263512,0.24581612953559295,-0.15074942965272037,-0.5418781868761253,0.4635994281082906,0.497115002081674,0.09712919711310128,0.0920147014418887,-0.8306760091572373,Low
Varari,VSEEP,-17.540302,-149.899331,4.164301883203659,4.17464549301737,4.3585276703375895,2.928839500591472,1.5285044247503097,1.6591491275402566,1.2684384165229123,-0.4333117340760527,1.1695150744040022,1.6781827365398045,-1.048853029067256,-0.7490178358719501,-0.035614038941470166,-0.46167096125993484,0.24581617276075043,High
Cabral,C1,-17.517048,-149.912693,0.0714839662365249,1.945501676247671,0.725337593552046,0.10441056952387945,-0.7479647314272557,2.152894702824542,0.10924896918339592,-1.3935844364563494,-0.4121984908963462,-0.3604435986319959,-0.0025079922031651237,-0.34698900520114767,-0.30110051105061303,-2.7156624085771384,1.897862519069631,High
Cabral,C2,-17.51706904,-149.912949,0.21355900427770527,0.7425437429650892,1.0413291422953814,-0.7169908086082407,0.8805972452288975,-0.8355767997792624,-0.7487594131870937,-1.3686719248906494,-1.067025289904062,0.32537477443433716,-0.5821641253255301,-1.1035225500239743,-0.8320734552688981,0.014762952905567032,0.2104323743379131,Low
Cabral,C3,-17.51697499,-149.913111,0.1619271076365322,-0.8026036551593673,0.4287485778681325,-0.6745811969666948,-0.0634420167400315,-0.6588091173351757,0.1141973127289318,1.564892240974746,-0.5015582235978868,1.5391627803198586,0.278058034184983,5.362845499918717e-5,-0.035614038941470756,0.1335242671823373,0.2006355338966752,Low
Cabral,C4,-17.51679302,-149.912772,0.023101780767634857,0.009176281250159972,0.607211838862869,0.1548085974169271,-0.605245557488579,-0.8739923061570135,0.0952044450040136,-2.32016264063588,-1.5256513248306796,0.9731516931471302,-1.7572916749029044,-1.4800565380740105,NA,NA,NA,Low
Cabral,C5,-17.51659596,-149.912877,0.14159383938923442,0.18744402882109415,0.28731927667126905,0.08725087349642847,-0.39359924985815625,0.0899257806412849,0.47202482334143153,-0.9015501691710818,0.19242760930648772,1.3589501864893174,-1.179595805006489,0.3912308623214194,-0.4338437471051845,1.0200725134646977,-0.07753616001490143,Low
Cabral,C6,-17.51653796,-149.913134,-0.0901892740302777,-0.6819685869615624,-1.3861265863375054,0.7854573777865379,-0.9641834021119138,0.26431350700924716,-0.0468374994100888,1.1201500355283203,-1.1790126508027745,-0.19183376493207496,-0.2646108437086818,0.6816008780687784,-0.035614038941470166,-0.6793048902124386,0.9259728071532441,Low
Cabral,C7,-17.51630402,-149.913229,-0.2715353798444947,0.20175183972087848,-0.7329092956182148,-1.2236585182615884,-0.08766171516186534,-1.1477739272608687,-1.2014658968032048,0.16249335265049783,0.9433835448909517,-2.218613969344889,-1.6227481456201343,-2.1739826454417486,-0.4338437471051845,1.6822708790747192,-0.6747894100153243,Mid
Cabral,C8,-17.51632397,-149.91291,-0.01079486407974287,0.21567746391012665,0.10501879012564269,-0.6581009161062862,-0.7044733976683444,-0.8874240204992873,0.91982419875241,0.8676788324088468,-0.03309135302857267,0.028435644023401027,0.20527122081740512,0.6158172751893674,-0.035614038941470166,-0.07060849494024592,0.7317558819654557,Low
Cabral,C9,-17.51639103,-149.913111,-0.31779224132960504,0.7151791772995637,0.182219482093802,-0.7456568886978006,-7.983797835094998e-4,-0.7635923569108597,0.05768139051000307,-0.031152424643604047,-0.09799732162941878,0.07304560470462383,0.4966955554173138,0.8952077171235314,-0.035614038941470756,0.5822447235586282,0.0018336582442394752,Low
Cabral,C10,-17.51588602,-149.912912,-0.28145736667970667,0.6500818282334095,0.3008834717750842,-0.10065144670187336,-0.8310094861813826,-1.13478278167299,-0.45204300043661055,0.3679082375360042,-0.5813752056366785,-0.811048634861193,-0.9770430091696118,0.4277378119844485,0.36261566922224353,-0.1678813432456362,0.7423600136763839,Low
Cabral,C11,-17.51598098,-149.913194,-0.23675928854199543,0.6579533295549338,0.31195386928173746,-0.8800865450269839,-0.7320048089618426,-0.6089053786311548,0.7736411940950072,-0.0442043754385534,-0.17958223331593645,0.25851126396373536,-0.6596427839901883,-0.08054224739290539,-0.1683572749960416,-0.320046598603641,0.390742752314421,Low
Cabral,C12,-17.51595701,-149.913303,-0.16897306734407505,0.8049604793231291,-0.29087026741622385,-0.19826680045647732,-0.3516401629617838,0.13299831839430895,0.5521377031222179,-0.49186960871382895,-0.37389811830887487,0.0521834081354067,-0.3395545291262625,-0.0948625409526828,-0.43384374710518386,0.7549672341022227,-0.4502864798323972,Low
Cabral,C13,-17.51557102,-149.913136,0.6470357634204598,0.788095507959147,1.2311546825670205,0.04891711204803181,-0.98710457149943,-0.7495112120806484,0.705277742463139,-0.03123742202918987,-0.14744748985550843,-0.32129701689681966,-0.926921914488539,-0.4285987312989805,-0.4338437471051845,0.41922918977360557,-0.01976813732934597,Low
Cabral,C14,-17.51652597,-149.913031,-0.14740764454714034,0.6907879173383715,0.61173449526679,-1.5291581807622099,-0.12527523823598682,-1.0581360629101737,-0.029395141475087774,1.3243286636171934,-1.0958481260900055,-0.8861179137977119,-2.62126667374715,-2.8631421095164074,0.09712919711310128,0.313441124347314,0.05271825015130485,Low
Cabral,C15,-17.51721597,-149.913056,-0.016104535438692,-0.9046309841476906,0.5851833590084796,-1.3801461781795212,-0.8796838516887908,-0.7305835435087774,-0.28080411011583617,2.276156773896766,-0.8559692673556211,-1.8170615354204838,-2.5919494815466844,-3.021658822401428,0.495358905276815,0.1938847735773446,-0.5655515314336877,Low
Cabral,C16,-17.51723299,-149.912976,0.4541818723773946,0.19367067435500862,0.7593119799357877,-1.5143237890643748,0.2203411288597037,-0.6892130029165093,0.7226883614822845,0.10110339674156114,-0.25437430851093695,1.6791367309859568,0.26897317557749245,-0.07191106528247239,0.36261566922224353,2.7738651346259573,-1.6388068008176309,Mid
Cabral,C17,-17.51721203,-149.912771,0.05716523382184464,0.6677139063962013,0.310231866210987,0.36290136956171254,-0.4782421856208422,-0.5747259483866762,0.8415907333463216,0.1979087739826954,-0.4678324512470901,0.45861868022199703,0.5740888975535283,0.33826367211594427,-0.1683572749960416,-0.19975490367018467,0.45022280831088723,Low
Cabral,C18,-17.51757103,-149.912982,0.011088333999470209,-0.1679611014413429,-0.6860521182478443,-0.8443564473933977,-0.21247867372147167,-0.6666453048702043,1.122167489332273,-0.4656388008549354,0.042597765894248615,-0.5712347652857944,0.7480460495928795,0.2920035764775835,0.7608453773859574,-0.03063364189510639,0.6224698212843387,Low
Cabral,C19,-17.51770397,-149.912893,-0.14327776867184552,0.4068510033094239,-0.3117007188587682,-0.8025328112257026,-0.31912494347210846,-0.8829544253991025,-0.12643558992951776,-0.22441553312990783,-0.38537989907940884,-1.0030883118177056,0.3846028221392466,0.14825609422049385,-0.30110051105061303,0.4457802365917651,0.2475211594235379,Low
Cabral,C20,-17.51692303,-149.912724,5.278000077513767e-4,1.1695138418033395,0.3086260506689728,-0.13534030974529776,-0.7333853416974866,-0.4299581638433097,0.20732542131837733,-0.5332804736292429,4.880237440918005,0.5578319631099441,2.6193280319147068,0.3228643437932261,-0.30110051105061303,0.4417700741072836,0.2928036660730642,Low
Cabral,CSEEP,-17.516384,-149.912515,4.0463939063821615,1.2147942752286527,2.1163621118639786,4.210790303465309,4.321728119311831,4.4878578430616844,1.2078747665893392,-0.8303143880973487,0.4045930948274685,1.3159672112871845,-0.7327453411164467,-0.4868897134791258,2.7519939182045268,-2.191823268752367,1.3239637511983022,High
