Location,CowTagID,lat,lon,MaxMin,adj_CT_depth_cm,Season,Salinity,TA,pH,Phosphate_umolL,Silicate_umolL,NN_umolL,Ammonia_umolL,M_C,HIX,VisibleHumidic_Like,Tryptophan_Like,Tyrosine_Like,del15N,C_N,N_percent
Varari,V7,-17.54004803,-149.899985,Minimum,45.9,Dry,36.26,2337.447513,8.014293905156164,0.21,1.01,0.54,0.31,1.367860544,0.625425117,0.009552103,0.021462661,0.044869412,4.8,31.32931727,0.994806233
Varari,V7,-17.54004803,-149.899985,Minimum,45.9,Wet,36.32,2332.53922,7.913070487026856,0.148432195,1.628447911,0.168388231,0.162075537,-Inf,-Inf,-Inf,-Inf,-Inf,3.5,38.33854167,0.839491059
Varari,V8,-17.54014903,-149.899896,Maximum,37.9,Dry,36.56,2363.226902,8.055299748971068,0.26,8.28,1.34,0.54,2.213546012,1.483817535,0.01406595,0.088466478,0.230293006,5.2,26.95665635,1.263891063
Varari,V8,-17.54014903,-149.899896,Maximum,37.9,Wet,36.68,2355.165876,8.031922299916777,0.171403525,3.702299847,0.406694848,0.342932874,Inf,Inf,Inf,Inf,Inf,3.7,36.45748988,0.829137294
Varari,V8,-17.54014903,-149.899896,Minimum,37.9,Dry,36.04,2321.38849,7.966032784507494,0.19,0.77,0.46,0.2,1.196935539,0.638370804,0.008004485,0.017713338,0.021027037,5.2,26.95665635,1.263891063
Varari,V8,-17.54014903,-149.899896,Minimum,37.9,Wet,36.46,2329.224197,7.930211620385833,0.145415758,1.306225589,0.169830328,0.13123258,-Inf,-Inf,-Inf,-Inf,-Inf,3.7,36.45748988,0.829137294
Varari,V9,-17.540245,-149.899765,Maximum,77,Dry,36.47,2372.370084,8.069159867538033,0.24,2.37,0.66,0.45,2.160899504,1.0095658,0.01062399,0.075029142,0.205488379,3.6,38.33766234,0.892029657
Varari,V9,-17.540245,-149.899765,Maximum,77,Wet,36.61,2354.123837,8.035633837371513,0.158827302,1.543652563,0.244549007,0.264385345,Inf,Inf,Inf,Inf,Inf,3.3,30.74193548,1.006289308
Varari,V9,-17.540245,-149.899765,Minimum,77,Dry,36.38,2318.333575,8.034552341814091,0.22,0.97,0.49,0.18,1.271206005,0.580085007,0.009094345,0.017050919,0.021583978,3.6,38.33766234,0.892029657
Varari,V9,-17.540245,-149.899765,Minimum,77,Wet,36.52,2330.358812,7.93202266004098,0.131586553,1.031073338,0.105927381,0.163515675,-Inf,-Inf,-Inf,-Inf,-Inf,3.3,30.74193548,1.006289308
Varari,V10,-17.54030501,-149.899788,Maximum,32.9,Dry,36.46,2363.270608,8.073040793958357,0.22,3.66,0.65,0.43,2.490372694,1.639078577,0.009871913,0.062482747,0.172610166,4,33.6626506,0.977659115
