Location,CowTagID,lat,lon,MaxMin,adj_CT_depth_cm,Season,Salinity,TA,pH,Phosphate_umolL,Silicate_umolL,NN_umolL,Ammonia_umolL,M_C,HIX,VisibleHumidic_Like,Tryptophan_Like,Tyrosine_Like,del15N,C_N,N_percent
Cabral,C9,-17.51639103,-149.913111,Minimum,72.1,Dry,36.23,2306.082345,7.994240091854368,0.18,1.75,0.32,0.02,0.826171439,0.602669849,0.006542585,0.018595052,0.007928592,3.2,44.52352941,0.649673253
Cabral,C9,-17.51639103,-149.913111,Minimum,72.1,Wet,36.38,2240.88,7.853260484279564,0.162210649,1.006141487,0.434659793,0.1424942,-Inf,-Inf,-Inf,-Inf,-Inf,2.9,50.12269939,0.616700087
Cabral,C10,-17.51588602,-149.912912,Maximum,104.7,Dry,36.24,2351.076783,8.064817779138096,0.24,6.79,0.49,0.32,1.60475994,1.680526471,0.017698585,0.067687765,0.165110793,3.1,49.44137931,0.56603037
Cabral,C10,-17.51588602,-149.912912,Maximum,104.7,Wet,36.5,2270.369396,8.027356418711255,0.179911858,6.167884599,0.479502842,0.894382275,Inf,Inf,Inf,Inf,Inf,3.1,50.01204819,0.648234927
Cabral,C10,-17.51588602,-149.912912,Minimum,104.7,Dry,36.04,2290.405857,7.907886589547267,0.17,3.33,0.31,0.18,0.831691182,0.96137128,0.012586706,0.028542444,0.013142381,3.1,49.44137931,0.56603037
Cabral,C10,-17.51588602,-149.912912,Minimum,104.7,Wet,36.37,2232.152984,7.853484084105979,0.139594965,3.184521033,0.343384767,0.248594291,-Inf,-Inf,-Inf,-Inf,-Inf,3.1,50.01204819,0.648234927
Cabral,C11,-17.51598098,-149.913194,Maximum,101.9,Dry,36.28,2333.809095,8.052661638594968,0.24,3.62,0.7,0.36,1.697842188,1.247953063,0.013381678,0.065320634,0.17127351,3.1,37.4009901,0.771994191
Cabral,C11,-17.51598098,-149.913194,Maximum,101.9,Wet,36.59,2310.62,8.021367791924098,0.249897615,4.713742766,1.156297447,0.965451554,Inf,Inf,Inf,Inf,Inf,2.7,36.9516129,0.799509978
Cabral,C11,-17.51598098,-149.913194,Minimum,101.9,Dry,36.17,2321.585477,7.971518517787911,0.17,1.93,0.38,0.02,0.993002704,0.645069536,0.007081678,0.018233763,0.016068014,3.1,37.4009901,0.771994191
Cabral,C11,-17.51598098,-149.913194,Minimum,101.9,Wet,36.39,2235.56,7.8226195716571505,0.193335654,2.201399326,0.760566364,0.14670264,-Inf,-Inf,-Inf,-Inf,-Inf,2.7,36.9516129,0.799509978
Cabral,C12,-17.51595701,-149.913303,Maximum,82.19999999999999,Dry,36.33,2358.511584,8.058770289873383,0.25,4.61,1.02,0.28,1.588173171,1.218172597,0.012566651,0.06971785,0.171506461,3.3,34.125,0.856700908
Cabral,C12,-17.51595701,-149.913303,Maximum,82.19999999999999,Wet,36.65,2325.766793,8.03139514193787,0.277882817,2.762373672,1.973447265,0.92289297,Inf,Inf,Inf,Inf,Inf,2.7,40.88202247,0.753407263
Cabral,C12,-17.51595701,-149.913303,Minimum,82.19999999999999,Dry,36.19,2352.554931,7.988082284068059,0.15,1.86,0.24,0.02,0.891093946,0.676223287,0.007653922,0.016072964,0.011095542,3.3,34.125,0.856700908
Cabral,C12,-17.51595701,-149.913303,Minimum,82.19999999999999,Wet,36.52,2252.0028820000002,7.886573555548894,0.199205721,1.332314071,0.811941669,0.151207448,-Inf,-Inf,-Inf,-Inf,-Inf,2.7,40.88202247,0.753407263
Cabral,C13,-17.51557102,-149.913136,Maximum,69.80000000000001,Dry,36.25,2332.698308,8.0690313229905275,0.29,6.18,0.75,0.48,1.734690307,1.903463037,0.024292169,0.078313729,0.172078376,3.2,37.72631579,0.751968971
Cabral,C13,-17.51557102,-149.913136,Maximum,69.80000000000001,Wet,36.53,2297.44669,7.983351103585628,0.223050023,5.346609657,1.164595177,1.098402673,Inf,Inf,Inf,Inf,Inf,2.6,42.2327044,0.715635971
Cabral,C13,-17.51557102,-149.913136,Minimum,69.80000000000001,Dry,35.3,2245.939872,7.860054870558657,0.2,4.41,0.44,0.02,1.033276404,0.961659491,0.014660493,0.022115558,0.013730342,3.2,37.72631579,0.751968971
Cabral,C13,-17.51557102,-149.913136,Minimum,69.80000000000001,Wet,36.39,2194.754721,7.712902032158767,0.146329616,2.834266218,0.642632675,0.225181143,-Inf,-Inf,-Inf,-Inf,-Inf,2.6,42.2327044,0.715635971
Cabral,C14,-17.51652597,-149.913031,Maximum,130.2,Dry,36.28,2306.582317,8.059177114289513,0.23,2.51,0.58,0.34,2.064977023,0.982462822,0.012590686,0.060535303,0.145435648,3.4,47.74074074,0.614171437
Cabral,C14,-17.51652597,-149.913031,Maximum,130.2,Wet,36.59,2307.34,8.027135094407747,0.206167893,5.100120929,0.72154938,1.017612492,Inf,Inf,Inf,Inf,Inf,3.2,51.53797468,0.589112603
Cabral,C14,-17.51652597,-149.913031,Minimum,130.2,Dry,36.11,2289.657979,7.907337464317568,0.2,1.74,0.41,0.27,1.215230333,0.832488568,0.01020402,0.050940605,0.10231324,3.4,47.74074074,0.614171437
Cabral,C14,-17.51652597,-149.913031,Minimum,130.2,Wet,36.36,2202.98,7.854626198272903,0.183916245,1.144260171,0.493803185,0.265309501,-Inf,-Inf,-Inf,-Inf,-Inf,3.2,51.53797468,0.589112603
Cabral,C15,-17.51721597,-149.913056,Maximum,110.9,Dry,36.26,2307.477973,8.07988155948271,0.23,2.39,0.68,0.24,2.08705195,1.081288209,0.010174343,0.046316006,0.119416764,3,34.87804878,0.958205118
Cabral,C15,-17.51721597,-149.913056,Maximum,110.9,Wet,36.68,2319.01011,8.02859920428872,0.242252877,1.736753909,1.236714805,0.774708485,Inf,Inf,Inf,Inf,Inf,3.1,37.87383178,0.83698373
Cabral,C15,-17.51721597,-149.913056,Minimum,110.9,Dry,36.21,2292.997625,7.919872665015688,0.19,2.11,0.55,0.2,1.105388808,0.854682174,0.009446955,0.038662495,0.088854916,3,34.87804878,0.958205118
Cabral,C15,-17.51721597,-149.913056,Minimum,110.9,Wet,36.57,2277.2280260000002,7.861279285211208,0.19474629,1.070596873,0.740881325,0.172605288,-Inf,-Inf,-Inf,-Inf,-Inf,3.1,37.87383178,0.83698373
Cabral,C16,-17.51723299,-149.912976,Maximum,97.4,Dry,36.19,2352.743261,8.082047534490528,0.21,8.53,0.53,1.01,1.889553822,1.814194983,0.025282831,0.079202455,0.182183796,3.3,33.66509434,0.841670637
Cabral,C16,-17.51723299,-149.912976,Maximum,97.4,Wet,36.7,2292.46,8.049575855065134,0.217316469,2.831433014,0.732318774,0.826750876,Inf,Inf,Inf,Inf,Inf,3.3,53.95588235,0.553520554
Cabral,C16,-17.51723299,-149.912976,Minimum,97.4,Dry,35.89,2276.492556,7.868373676855373,0.18,2.25,0.3,0.02,1.045468428,0.928925996,0.011334246,0.019960594,0.019362165,3.3,33.66509434,0.841670637
Cabral,C16,-17.51723299,-149.912976,Minimum,97.4,Wet,36.58,2266.76,7.829249103305159,0.171630058,1.312127494,0.509427633,0.228204106,-Inf,-Inf,-Inf,-Inf,-Inf,3.3,53.95588235,0.553520554
Cabral,C17,-17.51721203,-149.912771,Maximum,112,Dry,36.22,2347.220464,8.077316411328644,0.26,8.92,0.42,0.51,1.681510825,2.00631955,0.026475976,0.07873454,0.199039892,3.4,39.69680851,0.736705984
Cabral,C17,-17.51721203,-149.912771,Maximum,112,Wet,36.61,2298.528705,8.03694093158381,0.208761643,4.435380496,0.530171957,1.263361642,Inf,Inf,Inf,Inf,Inf,3,40.05381166,0.773472998
Cabral,C17,-17.51721203,-149.912771,Minimum,112,Dry,36,2263.189772,7.884461188045256,0.12,4.02,0.09,0.02,0.923904387,1.091852463,0.014792484,0.017415372,0.016955649,3.4,39.69680851,0.736705984
Cabral,C17,-17.51721203,-149.912771,Minimum,112,Wet,36.42,2222.96965,7.8716058601676195,0.138138825,2.110028505,0.381607288,0.242370543,-Inf,-Inf,-Inf,-Inf,-Inf,3,40.05381166,0.773472998
Cabral,C18,-17.51757103,-149.912982,Maximum,103.7,Dry,36.39,2358.186363,8.04024372899155,0.23,4.33,0.68,0.45,1.574038574,1.352085124,0.011773324,0.068906169,0.178965759,3,36.13471503,0.763781709
Cabral,C18,-17.51757103,-149.912982,Maximum,103.7,Wet,36.63,2315.159905,8.060575455150802,0.263230402,2.854452794,1.167508209,1.09709865,Inf,Inf,Inf,Inf,Inf,3.3,37.62542955,0.827339152
Cabral,C18,-17.51757103,-149.912982,Minimum,103.7,Dry,35.99,2304.675049,7.982635911693628,0.17,1.62,0.43,0.02,0.963032828,0.592448194,0.007618061,0.016327368,0.013629059,3,36.13471503,0.763781709
Cabral,C18,-17.51757103,-149.912982,Minimum,103.7,Wet,36.51,2278.578941,7.910831881893721,0.205075788,1.085825343,0.650489036,0.203546208,-Inf,-Inf,-Inf,-Inf,-Inf,3.3,37.62542955,0.827339152
Cabral,C19,-17.51770397,-149.912893,Maximum,79.1,Dry,36.39,2377.895232,8.038678309193845,0.24,3.88,0.69,0.39,1.712136285,1.348642055,0.011859865,0.066585525,0.180374027,3.5,33.94977169,0.843410614
Cabral,C19,-17.51770397,-149.912893,Maximum,79.1,Wet,36.63,2318.214953,8.102933378855264,0.278201348,3.585773516,1.118251474,0.821060592,Inf,Inf,Inf,Inf,Inf,3,38.63414634,0.848650439
Cabral,C19,-17.51770397,-149.912893,Minimum,79.1,Dry,36.13,2306.758841,7.98684098865389,0.2,1.51,0.57,0.1,0.963697208,0.716224662,0.008645813,0.017222339,0.016285487,3.5,33.94977169,0.843410614
Cabral,C19,-17.51770397,-149.912893,Minimum,79.1,Wet,36.46,2280.221057,7.922316313394353,0.187465587,1.020307506,0.605204618,0.256892622,-Inf,-Inf,-Inf,-Inf,-Inf,3,38.63414634,0.848650439
Cabral,C20,-17.51692303,-149.912724,Maximum,60.29999999999999,Dry,36.17,2358.638678,8.037103660325311,0.22,6.38,0.66,0.45,1.594623748,13.00549861,0.023353619,0.077769822,0.19452763,3.7,31.50917431,0.862717163
Cabral,C20,-17.51692303,-149.912724,Maximum,60.29999999999999,Wet,36.55,2281.053085,8.057018703954304,0.172540146,5.129515419,0.424508315,0.880452934,Inf,Inf,Inf,Inf,Inf,3.2,36.16666667,0.875
Cabral,C20,-17.51692303,-149.912724,Minimum,60.29999999999999,Dry,36.03,2290.804761,7.884701362681248,0.19,3.01,0.2,0.09,0.988432127,0.940508137,0.013685673,0,0,3.7,31.50917431,0.862717163
Cabral,C20,-17.51692303,-149.912724,Minimum,60.29999999999999,Wet,36.44,2187.890967,7.866974805020749,0.129219964,2.675960957,0.238956958,0.18920195,-Inf,-Inf,-Inf,-Inf,-Inf,3.2,36.16666667,0.875
Cabral,CSEEP,-17.516384,-149.912515,Maximum,55.9,Dry,36.18,2331.098909,8.082022867708762,4.24,778.05,18.24,1.75,1.85098884,2.799359557,0.039863423,0.159811652,0.189544886,3.5,49.46357616,0.591044309
Cabral,CSEEP,-17.516384,-149.912515,Maximum,55.9,Wet,36.35,2270.621749,8.024545199057425,0.388139962,42.28698281,1.723102998,0.862670795,Inf,Inf,Inf,Inf,Inf,5.3,36.46666667,0.763708569
Cabral,CSEEP,-17.516384,-149.912515,Minimum,55.9,Dry,9.058,2118.700716,7.378474722044782,0.15,7.14,0.09,0.02,0.889248162,0.761453144,0.013103624,0.024223435,0.004018766,3.5,49.46357616,0.591044309
Cabral,CSEEP,-17.516384,-149.912515,Minimum,55.9,Wet,34.19,2235.092031,7.832207086935029,0.122621827,7.135777835,0.169485541,0.07201766,-Inf,-Inf,-Inf,-Inf,-Inf,5.3,36.46666667,0.763708569
