Location,CowTagID,Salinity,pH,TA,NN_umolL,Silicate_umolL,Ammonia_umolL,Phosphate_umolL,del15N,N_percent
Cabral,C1,0.28999999999999915,0.21562556859764648,209.3451540000001,2.087850005,3.6913103569999994,0.39978771400000007,0.013696821999999997,3,0.900824699
Cabral,C10,0.13000000000000256,0.17387233460527618,38.21641200000022,0.136118075,2.983363566,0.645787984,0.04031689300000002,3.1,0.648234927
Cabral,C11,0.20000000000000284,0.19874822026694705,75.05999999999995,0.39573108300000004,2.51234344,0.818748914,0.056561960999999994,2.7,0.799509978
Cabral,C12,0.12999999999999545,0.14482158638897502,73.76391099999955,1.161505596,1.4300596009999997,0.7716855220000001,0.078677096,2.7,0.753407263
Cabral,C13,0.14000000000000057,0.27044907142686103,102.69196900000043,0.521962502,2.5123434390000003,0.87322153,0.07672040699999999,2.6,0.715635971
Cabral,C14,0.23000000000000398,0.17250889613484421,104.36000000000013,0.22774619500000004,3.955860758,0.7523029910000001,0.022251647999999985,3.2,0.589112603
Cabral,C15,0.10999999999999943,0.16731991907751276,41.78208399999994,0.49583348000000005,0.666157036,0.602103197,0.04750658700000002,3.1,0.83698373
Cabral,C16,0.12000000000000455,0.22032675175997518,25.699999999999818,0.22289114099999996,1.5193055199999999,0.59854677,0.04568641100000001,3.3,0.553520554
Cabral,C17,0.18999999999999773,0.16533507141619097,75.55905500000017,0.14856466899999998,2.325351991,1.020991099,0.070622818,3,0.773472998
Cabral,C18,0.12000000000000455,0.14974357325708176,36.58096399999977,0.517019173,1.7686274510000002,0.893552442,0.058154613999999966,3.3,0.827339152
Cabral,C19,0.1700000000000017,0.18061706546091116,37.99389599999995,0.513046856,2.56546601,0.56416797,0.09073576100000003,3,0.848650439
Cabral,C2,0.269999999999996,0.24072643748657097,98.06125299999985,0.16877935099999997,3.4561544439999996,0.21829265699999995,0.028686020999999978,2.6,0.676584785
Cabral,C20,0.10999999999999943,0.19004389893355533,93.16211800000019,0.18555135700000003,2.4535544619999996,0.6912509840000001,0.04332018200000001,3.2,0.875
Cabral,C3,0.21000000000000085,0.19097351486501335,45.30770200000006,0.283790541,0.845254365,0.46353739400000005,0.023644818000000012,2.9,0.767444606
Cabral,C4,0.14000000000000057,0.21571769252280415,50.669210999999905,0.152448713,1.9003714260000004,0.687813104,0.09615078399999999,NA,NA
Cabral,C5,0.20999999999999375,0.18209323129380195,40.820000000000164,0.21741817100000005,4.303282370000001,0.7529550030000001,0.027166122999999986,2.9,0.545633116
Cabral,C6,0.0799999999999983,0.07674438504756953,37.38818500000025,0.22898202700000003,0.852086033,0.32565022299999996,0.030942988000000005,3.1,0.687724634
Cabral,C7,0.14999999999999858,0.0975426054690205,79.41189799999984,0.10778221099999996,3.447300683,0.28285454400000004,0.043820731,3,0.577332118
Cabral,C8,0.10000000000000142,0.1791039741710394,75.67647299999999,0.23798594700000003,3.0488814019999997,1.2005906940000002,0.051692990999999994,3.1,0.662661795
Cabral,C9,0.21999999999999886,0.18986699209558378,143.92000000000007,0.310105575,5.203178717,0.435484564,0.031716561999999976,2.9,0.616700087
Cabral,CSEEP,2.1600000000000037,0.19233811212239527,35.529717999999775,1.553617457,35.151204975,0.790653135,0.265518135,5.3,0.763708569
Varari,V1,0.3299999999999983,0.12873320878224526,27.7293880000002,0.60378821,3.7078063739999996,0.5980173280000001,0.04394717100000001,3.6,0.962962963
Varari,V10,0.04999999999999716,0.10054104807938113,26.024951999999757,0.111402034,0.254732147,0.204379592,0.022136007999999985,3.2,0.963518076
Varari,V11,0.2600000000000051,0.10129390754686884,68.89333699999997,0.418208284,2.225099148,0.20125929300000003,0.04292622300000001,4,1.076450745
Varari,V12,0.13000000000000256,0.10334348744907018,36.351014999999734,0.145381457,0.16786017900000005,0.11179071699999998,0.03192782899999999,6.1,1.069535199
Varari,V13,0.21999999999999886,0.10249515066675663,29.750304000000142,0.220370529,0.239849698,1.5572692830000001,0.02974671200000001,3.4,0.753109559
Varari,V14,0.10000000000000142,0.1004899605644729,32.789999999999964,0.10500272699999999,1.425600154,0.04854465300000002,0.020233332999999992,4.4,1.081005846
Varari,V15,0.21000000000000085,0.09901484067863997,27.016761000000315,0.36097503799999997,3.1910739070000003,1.2707418160000001,0.030999693999999994,6.7,1.011904762
Varari,V16,0.09000000000000341,0.10079791166378893,20.615003000000343,0.06886015699999999,0.641329713,0.20924005799999998,0.037543043,3.4,1.001960357
Varari,V17,0.13000000000000256,0.09963761585767017,25.420000000000073,0.18855425199999998,1.1597926969999999,16.931642057999998,0.011648088000000001,3.9,0.822547478
Varari,V18,0.6000000000000014,0.11090449346776143,60.0300000000002,0.5588127930000001,6.880089617,4.0958126329999995,0.06028233799999999,4.1,0.866922585
Varari,V19,0.09999999999999432,0.09711378427897799,23.092653000000155,0.30958308100000004,0.44596929800000007,0.795163829,0.068184938,3.1,0.85126207
Varari,V2,0.21999999999999886,0.11468004964424328,24.76681899999994,0.387743974,2.664650544,0.419440209,0.027008715000000016,3.8,1.005882148
Varari,V20,0.13999999999999346,0.10276903680720828,36.3578849999999,0.170077378,0.33087490900000005,0.310469762,0.01884113100000001,3.6,0.825848197
Varari,V3,0.20000000000000284,0.1291568164343122,22.97627999999986,0.28355242699999994,2.092541523,0.44506266400000005,0.05262522900000001,3.7,0.924214418
Varari,V4,0.10999999999999943,0.1017754440770755,24.122179999999844,0.06822924000000002,0.321184012,0.27620647800000003,0.034851452000000005,3.3,1.189258312
Varari,V5,0.10999999999999943,0.1014128973962185,30.525182999999743,0.23713491299999997,1.4993201919999999,0.322950959,0.04668516800000001,3.3,1.35863705
Varari,V6,0.21999999999999886,0.11421041466586423,69.90804700000035,0.400182065,3.196957666,0.173296613,0.03879602400000001,3.9,0.964812713
Varari,V7,0.259999999999998,0.11129977259373725,25.115719999999783,0.311132542,4.22246222,0.07698738000000002,0.027147935000000012,3.5,0.839491059
Varari,V8,0.21999999999999886,0.10171067953094415,25.941679000000022,0.23686452,2.3960742579999996,0.211700294,0.025987766999999995,3.7,0.829137294
Varari,V9,0.0899999999999963,0.10361117733053327,23.76502500000015,0.138621626,0.5125792250000001,0.10086967,0.02724074900000001,3.3,1.006289308
Varari,VSEEP,21.42,0.9935317893602358,1076.2248840000002,18.181927656,444.152581606,4.117534716,2.19308911,7.7,1.254271659
