Location,CowTagID,Season,lat,lon,adj_CT_depth_cm,Salinity,Temperature,TA,pH,Phosphate_umolL,Silicate_umolL,NN_umolL,Ammonia_umolL,M_C,HIX,VisibleHumidic_Like,Tryptophan_Like,Tyrosine_Like,del15N,C_N,N_percent
Varari,V1,Dry,-17.53975298,-149.900506,76.6,0.0035253436913773675,0.02286147595971395,0.011962247765351644,0.002977831097233636,0.06004625342957236,0.7317704558124768,0.24515293502882796,0.22070820656292228,0.38743449494761634,0.5770489552732508,0.20038462125518575,0.7730904031260509,1.1435214960582174,5,27.69463087248322,1.108259883223623
Varari,V1,Wet,-17.53975298,-149.900506,76.6,0.004132087502150571,0.01435976065868677,0.005260125528165121,0.0069979613758071975,0.11526763734033306,0.8344845362563399,0.5876430605248365,0.5695909849011092,NA,NA,NA,NA,NA,5,27.69463087248322,1.108259883223623
Varari,V2,Dry,-17.53989003,-149.900519,69.19999999999999,0.00406893526205163,0.02140842741461022,0.0065488656887084775,0.0025094071163059262,0.13205891141466733,0.8852324337902289,0.31724162541680523,1.0945747520561078,0.27347824564146284,0.2073165125733818,0.477929916258935,0.7345816200491587,0.9532328881367382,4.8,30.28793774319066,1.0367919961271583
Varari,V2,Wet,-17.53989003,-149.900519,69.19999999999999,0.0025118095027277434,0.013567205984080663,0.0046787944361478175,0.006598030655909956,0.07735912662328283,0.6476671996753083,0.4305350108279636,0.6113550733133759,NA,NA,NA,NA,NA,4.8,30.28793774319066,1.0367919961271583
Varari,V3,Dry,-17.54012598,-149.90056,52,0.0027934323865488656,0.018716944374894677,0.0067045565319345,0.005316379820132989,0.1043461544756868,0.5578839285379749,0.34358868080523736,0.20767806153025503,0.284787191969565,0.1542838515261543,0.2406846549748536,0.5482982167887741,0.5868450334292649,4.3,29.70921985815603,1.116301163803341
Varari,V3,Wet,-17.54012598,-149.90056,52,0.0023215544115564074,0.012446363141633688,0.004807381981405193,0.007107237606659988,0.16610854382735682,0.6294416996541776,0.4670060536566277,0.41403772377965625,NA,NA,NA,NA,NA,4.3,29.70921985815603,1.116301163803341
Varari,V4,Dry,-17.54024902,-149.900454,58.7,0.0015018441390325698,0.02042221800876508,0.008148307011627548,0.001935568073880772,0.06593406593406594,0.653205103062328,0.48497019724535523,0.6570901595232821,0.21493890844405802,0.25316014344756826,0.38325594902272814,0.7388104075174692,0.9886234080455051,4,29.212121212121215,1.1182649949169774
Varari,V4,Wet,-17.54024902,-149.900454,58.7,0.001364680393855234,0.012245241020313317,0.004352944862947348,0.005670946602546283,0.10500535758902584,0.14741166446304024,0.157875816257036,0.4298002019871006,NA,NA,NA,NA,NA,4,29.212121212121215,1.1182649949169774
Varari,V5,Dry,-17.54025003,-149.900336,70.9,0.0032703340333117854,0.020735800191829985,0.008484361102369503,0.001788221662177194,0.1289529905497771,1.0935016410253575,0.4669989739336228,0.6644862301909489,0.30865276832987193,0.5979645795596488,0.26535032851623974,0.852715792689815,1.3312078814902386,4.1,33.603846153846156,1.013368671317769
Varari,V5,Wet,-17.54025003,-149.900336,70.9,0.0012730060662535974,0.013109145111101303,0.006432838483211966,0.005845844443119876,0.1501308245871782,0.5368785595130159,0.4353488797988468,0.4633979228256932,NA,NA,NA,NA,NA,4.1,33.603846153846156,1.013368671317769
Varari,V6,Dry,-17.54002498,-149.900106,67.69999999999999,0.002588939100796746,0.02154627961154416,0.007859378250908692,0.0025882454527324603,0.13516617991854188,0.6279034552863895,0.344118186258906,0.43068698192581506,0.2687622622700707,0.2606866013465512,0.14363247562981962,0.6680136638323492,1.0198658661331474,5,28.411149825783973,1.1610032362459548
Varari,V6,Wet,-17.54002498,-149.900106,67.69999999999999,0.002886780836104913,0.014863314566645197,0.013375449635321937,0.006588401885662157,0.10003143753628747,0.5430889704612153,0.6100869876454501,0.3236160279302652,NA,NA,NA,NA,NA,5,28.411149825783973,1.1610032362459548
Varari,V7,Dry,-17.54004803,-149.899985,45.9,0.0029450638804930204,0.020792598276963645,0.0070111576097338524,0.0036299111808914294,0.0750692363806564,0.4779139448452654,0.26401109808424744,0.37874805357734326,0.12321138355464485,0.2933133576086544,0.17973143617377435,0.745945115736296,0.8620907378227193,4.7,28.98625429553265,1.1191877235490943
Varari,V7,Wet,-17.54004803,-149.899985,45.9,0.002915088243475749,0.014809182776610202,0.004948525247526369,0.0064403571910543085,0.06971808622587501,0.5802573824666347,0.47847849506012397,0.18086028490611109,NA,NA,NA,NA,NA,4.7,28.98625429553265,1.1191877235490943
Varari,V8,Dry,-17.54014903,-149.899896,37.9,0.006249739573359883,0.02087119399640018,0.008173382744667473,0.0054526970116401405,0.15548413805175698,1.1969716701299125,0.5978174819254594,0.4348745981937807,0.2817684313578112,0.403793510659775,0.24240429350165685,0.6063554436885529,1.0631227159061778,5.1,28.970149253731343,1.0833535451532057
Varari,V8,Wet,-17.54014903,-149.899896,37.9,0.00245993551077023,0.012464943103395097,0.004781311489711908,0.005834951700019159,0.07057746871670721,0.5105272482574585,0.3575158058480793,0.41978522351484704,NA,NA,NA,NA,NA,5.1,28.970149253731343,1.0833535451532057
Varari,V9,Dry,-17.540245,-149.899765,77,0.001153925437009229,0.02069664802431982,0.009681711393501767,0.001852399490849337,0.04444444444444442,0.4964551386872236,0.13048222925438085,0.4242640687119286,0.25698562056828106,0.2772832668795726,0.08022407120137766,0.6176806334658312,0.8332878324992486,3.9,31.95864661654135,1.0175975516449889
