Location,CowTagID,lat,lon,adj_CT_depth_cm,Salinity,TA,pH,Phosphate_umolL,Silicate_umolL,NN_umolL,Ammonia_umolL,M_C,HIX,VisibleHumidic_Like,Tryptophan_Like,Tyrosine_Like,del15N,C_N,N_percent
Varari,V1,-17.53975298,-149.900506,76.6,0.004280378047766802,0.008855289716491351,0.007638312192803674,0.16039345526132157,0.7252863975459962,0.4172084380009704,0.4523483332794905,0.38743449494761634,0.5770489552732508,0.20038462125518575,0.7730904031260509,1.1435214960582174,0.13037133751825575,0.03316699483478164,0.00908845733525596
Varari,V2,-17.53989003,-149.900519,69.19999999999999,0.004654418260346058,0.005280704487036378,0.006520558940866472,0.1878711158526272,0.7666963858633621,0.4624911181739919,1.2160301160405074,0.27347824564146284,0.2073165125733818,0.477929916258935,0.7345816200491587,0.9532328881367382,0.07822280251095355,0.01839884532025406,0.022215946558835284
Varari,V3,-17.54012598,-149.90056,52,0.0033389805822595757,0.005783676302402401,0.006985450741764044,0.22138592401451118,0.5536840871324313,0.5089151038693658,0.3356378365556495,0.284787191969565,0.1542838515261543,0.2406846549748536,0.5482982167887741,0.5868450334292649,0.04089152146769453,0.06597993728103532,0.08165606410515905
Varari,V4,-17.54024902,-149.900454,58.7,0.0020589919883103524,0.006942331285487424,0.005635913912924132,0.2565328123149091,0.5855303632635409,0.7284585033679988,0.6968864733093554,0.21493890844405802,0.25316014344756826,0.38325594902272814,0.7388104075174692,0.9886234080455051,0.08908708063747482,0.013781125999578437,0.01323530658206037
Varari,V5,-17.54025003,-149.900336,70.9,0.003385959636782172,0.007482307218420386,0.005805768661124361,0.2313407952922386,0.9408887390605094,0.6688366045313666,0.5256944647421006,0.30865276832987193,0.5979645795596488,0.26535032851623974,0.852715792689815,1.3312078814902386,0.11557242893510242,0.24055161388372143,0.17580478512215933
Varari,V6,-17.54002498,-149.900106,67.69999999999999,0.002686870096380529,0.011212345310778634,0.006708502639328028,0.17804726106183755,0.542764581031486,0.527042405516669,0.41889076850093293,0.2687622622700707,0.2606866013465512,0.14363247562981962,0.6680136638323492,1.0198658661331474,0.12148238268746568,0.023179396259307712,0.057299897845067414
Varari,V7,-17.54004803,-149.899985,45.9,0.003033696860492349,0.006372304659800816,0.006796042207166467,0.1849708170989473,0.5219340461646339,0.5246893809225635,0.5443912997613045,0.12321138355464485,0.2933133576086544,0.17973143617377435,0.745945115736296,0.8620907378227193,0.16227477466653523,0.10725028980695137,0.08842114308531977
Varari,V8,-17.54014903,-149.899896,37.9,0.005257017779108563,0.006202013739927391,0.0064588606605930675,0.1932096373139548,0.9633010204134427,0.7467423392493923,0.4795869157758468,0.2817684313578112,0.403793510659775,0.24240429350165685,0.6063554436885529,1.0631227159061778,0.18017611814320744,0.16016644357058324,0.2220568714999923
Varari,V9,-17.540245,-149.899765,77,0.002403903372922546,0.007336041585446449,0.006474612797771212,0.23296695712362178,0.3684334237590348,0.5662017953290038,0.40611514536937887,0.25698562056828106,0.2772832668795726,0.08022407120137766,0.6176806334658312,0.8332878324992486,0.046480215984769493,0.11754807253631229,0.06434572227273756
Varari,V10,-17.54030501,-149.899788,32.9,0.0036956665442888195,0.008280107468313003,0.006097695916536607,0.21548778445121605,0.6496029063481276,0.7018473979403727,0.31569026731211497,0.33119771948777355,0.35693392176334665,0.17194889005128836,0.8061008777601281,1.0953514841549192,0.11878277418329969,0.029170889011281304,0.0077877520147969816
Varari,V11,-17.54019303,-149.900068,55.599999999999994,0.0045153916979286945,0.011078583395450486,0.005775205836678839,0.1847532932518152,1.1351667286075269,0.6546927223241246,0.765037912894969,0.15842377833571802,0.27289691646577935,0.2395882826723657,0.6545968412318555,0.9929372781131399,0.06288499809704104,0.031116088468030528,0.05260286544704765
Varari,V12,-17.54030996,-149.900112,54.7,0.0038240938710524318,0.00637254810881884,0.0054638675580857355,0.2350451773185407,0.8029378171511935,0.6521288776576173,0.6505586739886314,0.197790125321537,0.28870022319373423,0.26281331012913434,0.7813442232806364,1.1099019649354616,0.24836398238326304,0.005412211723259851,0.015752845980754836
Varari,V13,-17.540749,-149.899133,72.80000000000001,0.0021680823187274594,0.008790976322082962,0.0066317264285479715,0.22289179342307863,0.2020005478642093,0.4890344031991672,1.0370209419971919,0.28606420597441634,0.4512045990399661,0.1346956427295285,0.6572472805972726,1.0331214798405857,0.030544141932848528,0.09692277208818778,0.12305158482032207
Varari,V14,-17.54039696,-149.899396,61.8,0.002980711994799946,0.01034605464414314,0.0071533031183807095,0.19971220710118096,0.27355773159528496,0.4741134690173917,0.45580095363679796,0.37259548657242675,0.4843101167466968,0.20728074569164695,0.7617362842022594,1.1748921383167992,0.012011741209547119,0.07843247403760895,0.10220973663288835
Varari,V15,-17.54014299,-149.900183,43.50000000000001,0.003934495654358044,0.00897120917470415,0.006266493304307698,0.22708173776928164,1.0434600443036919,0.631806848861017,0.9493255519346153,0.296937485819563,0.3680437023113069,0.12291490272399781,0.7297857540188787,1.2470858624378485,0.19867207363401462,0.017684028126152804,0.06339981002052522
Varari,V16,-17.54029797,-149.900492,75.7,0.0024071956066614615,0.006458964790105269,0.005753060472779244,0.18359465055210797,0.26013360762522614,0.5851677037341866,0.5724499627181386,0.35331964724095083,0.43235186709573226,0.3618538596539712,0.74774705555814,1.129940798947439,0.0451709141260436,0.08745860356986707,0.0712781327493115
Varari,V17,-17.54031901,-149.899572,69.2,0.01199832735792775,0.008930293778926308,0.003004972943000613,0.16611656238360525,0.8232566676337614,0.4352167678077583,0.13550013022350507,0.3434511578012972,0.4063144582151508,0.16250743054150663,0.7401483187769744,1.156980008869982,0,0,0
Varari,V18,-17.54019697,-149.899906,31.500000000000007,0.00629128618875194,0.010257829408577659,0.006380957590852522,0.25534262188512075,1.092256735435834,0.654987884584291,1.7899533966770023,0.2770896763961975,0.4344933837513153,0.22574873752034721,0.7456629165571274,1.1022546382176226,0.025453451610707112,0.10789983952993755,0.1581455680089891
Varari,V19,-17.54050802,-149.89978,82.9,0.0032917957911059673,0.008002544469274855,0.00610277642599558,0.22141576620165643,0.22337998850036647,0.6092147955909448,0.862467046773851,0.19331140741949426,0.26519751612832226,0.2782594522326421,0.7850434171046449,1.1307864854610339,0.06479060409998166,0.08776242782753141,0.10507658440137371
Varari,V20,-17.54045103,-149.899509,65,0.003323969423209095,0.007949707636080333,0.006769950053150993,0.22086877741649466,0.2706378597599796,0.5462892809926105,0.4213082286705625,0.2887282979298986,0.3086308609216816,0.18343906978357485,0.7161210791195227,1.065069825836206,0.028893107233775566,0.03559711453489874,0.0957329922190419
Varari,VSEEP,-17.540302,-149.899331,NA,0.25349456614396915,0.13284040921226176,0.04694836976911211,0.867425846939646,1.1741463628834417,1.0318289585426594,1.1375870962560979,0.23984702783816958,0.576526655547372,0.4115280019871381,0.42469774826960377,0.7613792752446984,0.01904470334243751,0.027644372412023784,0.0019707718929249875
Cabral,C1,-17.517048,-149.912693,78.9,0.006160334304881962,0.037165089595261075,0.010698667707402755,0.20380707585860283,0.31049401098621643,1.184476181173099,0.7815776544757621,0.17072992656486988,0.25558004890576397,0.20207964899512262,0.6263102713043177,0.8593562751451053,0.08223422828074597,0.21946657610870987,0.18185742706982444
Cabral,C2,-17.51706904,-149.912949,87.19999999999999,0.007105218288061379,0.01839097156566865,0.012225730745352159,0.1335512786335992,0.9283417764754548,0.2605552437145101,0.5180667279817075,0.17252304281256764,0.12270868477884317,0.27254058939021564,0.5146205978467031,0.6749842067984564,0.15772794604667667,0.0223282518065849,4.1758667439584533e-4
Cabral,C3,-17.51697499,-149.913111,99.6,0.006748215414958948,0.007126126895270443,0.009426170831724642,0.13650175362738787,0.5701898873227819,0.3152050413564904,0.783097386239562,0.38367082514694745,0.23744800299673446,0.3972450996420961,0.6803704736898201,0.9439327868008268,0.05257598201555894,0.03398798486763564,0.0014276694244507253
Cabral,C4,-17.51679302,-149.912772,90.6,0.005864383946507694,0.01183292536231052,0.010174233704839717,0.20915504696668188,0.364639154968722,0.2486786403624106,0.7772643101603459,0.10403803850311169,0.02964855502061916,0.33909315294238,0.2881939204019963,0.5832204632676184,0,0,0
Cabral,C5,-17.51659596,-149.912877,89,0.0066119780591066095,0.013187430927599655,0.008869080243321269,0.20201741309140875,0.4449340409588754,0.5466851970961866,0.8929931177778184,0.206144847969583,0.3782651541006481,0.3787300680666578,0.39950588516804936,1.039265183085995,0.10022296571715915,0.08610305477449903,0.042625018941202256
Cabral,C6,-17.51653796,-149.913134,130.9,0.0052183653773550005,0.007697074860583469,0.00415342696621939,0.2891517899252552,0.22846445088690492,0.6005992034659238,0.7336404888287089,0.3516598224618189,0.09998525099431599,0.21940261365884067,0.575807602179999,1.1100302149283399,0.04934053696844755,0.03308229527239653,0.09362824127347892
Cabral,C7,-17.51630402,-149.913229,90.1,0.0043084195279406365,0.013302150637503287,0.005641149100839213,0.10283462525981642,0.5610013597965048,0.1640358482833117,0.3790318334764042,0.28273101320644,0.5306421486151015,0.011171331462974127,0.31411812268807027,0.414106228253636,0.09682458365518544,0.1397262748873681,0.1144881379956245
Cabral,C8,-17.51632397,-149.91291,99.70000000000002,0.005664358062897523,0.013414696706799945,0.0081946822194413,0.13766568024920145,0.326993857947069,0.24452606868957483,1.0305209446878512,0.3334878202052248,0.3325049436032245,0.24203308012750877,0.6663457184038634,1.093998329747344,0.04934053696844755,0.013491315602006912,0.06918329703091078
Cabral,C9,-17.51639103,-149.913111,72.1,0.004098457211283431,0.018094584759273835,0.008474460608072247,0.13159289694529402,0.5939557812036986,0.2828100766213863,0.7657402562492571,0.26879306124008,0.3193348280840643,0.24661630493458617,0.7224981282709653,1.1620875691580692,0.05257598201555894,0.06324356042524387,0.02783523315468573
Cabral,C10,-17.51588602,-149.912912,104.7,0.004262666560897607,0.017407591753946745,0.008921193225672213,0.18341435379514784,0.2789882918942176,0.16805221296999381,0.6091940624418392,0.2975160647511543,0.2212522833040479,0.15578451336392357,0.43853429241199027,1.0481621604433915,0,0.006134234985096804,0.07237328464862047
Cabral,C11,-17.51598098,-149.913194,101.9,0.004471944697321284,0.01748933052971178,0.008963929033781745,0.12278257823060074,0.3165489248144784,0.3306333661726833,0.9856253238682361,0.26785362705365307,0.30278037654911083,0.26567103615148946,0.4996918054270033,0.924291055866387,0.07372723914825498,0.006461164974096635,0.018718126368057367
